recno,Name,Type,RAJ2000,DEJ2000,Vmag,l_FX,FX,Porb,GLON,GLAT,FX2
34,"SAX J1603.9-7753","T, B",240.97499999999997,-77.88499999999999,, ,160.0,,312.4,-18.7,
35,"4U 1608-52","T, B, A",243.17916666666665,-52.42305555555555,,<,1.0,12.89,330.9,-0.9,110
36,"1E 161348-5055.1"," ",244.4010833333333,-51.04027777777777,, ,1.0,6.67,332.4,-0.37,
37,"H 1617-155","Z, M, R",244.9794583333333,-15.64022222222222,12.2, ,14000.0,18.9,359.1,23.8,
38,"4U 1624-49","D",247.0117708333333,-49.19850277777777,, ,55.0,20.89,334.9,-0.3,
39,"4U 1626-67","P",248.06999999999996,-67.46194444444444,18.5, ,25.0,0.69,321.8,-13.1,
40,"4U 1630-47","T, U, D, R",248.5067083333333,-47.392999999999994,,<,2.0,,336.9,0.3,1400
41,"GRS 1632-477"," ",249.1183333333333,-47.826944444444436,, ,13.0,,336.9,-0.4,
42,"4U 1636-536","B, A",250.23124999999996,-53.75138888888888,17.5, ,220.0,3.8,332.9,-4.8,
43,"4U 1642-45","Z, R",251.44874999999996,-45.610972222222216,, ,500.0,,339.6,-0.1,
44,"XTE J1650-500","T, R",252.50408333333328,-49.962111111111106,, ,455.0,7.63,336.7,-3.4,
45,"GRO J1655-40","T, D, M, R",253.50057083333328,-39.84580555555555,14.2, ,1600.0,62.88,345.0,2.5,
46,"2A 1655+353","P, D, E",254.45762499999998,35.342388888888884,13.0, ,15.0,40.8,58.2,37.5,50
47,"MXB 1659-298","T, B, D, E",255.5270833333333,-29.945583333333328,18.3,<,5.0,7.11,353.8,7.3,80
48,"4U 1659-487","T, U, M, R",255.70624999999995,-48.78972222222222,15.5, ,1.5,42.14,338.9,-4.3,900
49,"4U 1700+24"," ",256.6438333333333,23.97183333333333,7.8,<,0.5,404.0,45.2,33.0,22
50,"XTE J1701-462","T, Z, R?",255.24354166666663,-46.18572222222222,, ,1100.0,,340.8,-2.5,
51,"3A 1702-363","Z, R",256.43541666666664,-36.42305555555555,18.6, ,825.0,22.5,349.1,2.7,
52,"4U 1702-429","B, A",256.56380833333327,-43.03574722222221,, ,45.0,,343.9,-1.3,
53,"4U 1705-250","T",257.0608333333333,-25.091388888888886,15.9,<,2.0,12.54,358.2,9.1,3600
54,"4U 1705-32","B",257.22612499999997,-32.33252777777777,, ,8.0,,352.8,4.7,
55,"4U 1705-44","B, A, R",257.2269583333333,-44.10204166666666,, ,10.0,,343.3,-2.3,280
56,"4U 1708-40","B",258.09929166666666,-40.84277777777777,, ,32.0,,346.3,-0.9,
57,"XTE J1709-267","T, B",257.3766666666666,-26.655527777777774,, ,150.0,,357.5,7.9,
58,"IGR J17098-3628","T, R?",257.44137499999994,-36.46616666666666,, ,80.0,,349.6,2.1,
59,"XTE J1710-281","T, B, E",257.55125,-28.131666666666664,, ,2.0,3.28,356.4,6.9,
60,"2S 1711-339","T, B",258.58241666666663,-34.04647222222222,, ,16.0,,352.1,2.7,130
61,"SAX J1711.6-3808","T",257.9045833333333,-38.118249999999996,, ,80.0,,348.6,0.8,
62,"SAX J1712.6-3739","T, B",258.1545833333333,-37.64277777777777,, ,35.0,,348.9,0.94,
63,"1H 1715-321","B",259.6975,-32.17777777777777,, ,28.0,,354.1,3.1,
64,"1RXS J171824.2-402934","B",259.6005833333333,-40.49249999999999,, ,1.5,,347.3,-1.65,
65,"GRO J1719-24","T, R",259.90387499999997,-25.01761111111111,16.65, ,1500.0,14.7,359.9,7.0,
66,"SAX J1719.6-4254","T",259.9092916666666,-42.89666666666666,, ,,,345.4,-3.2,
67,"XTE J1720-318","T, R",259.9958083333333,-31.750347222222217,, ,410.0,,354.6,3.1,
